,vm_a_pu,va_a_degree,vm_b_pu,va_b_degree,vm_c_pu,va_c_degree,p_a_mw,q_a_mvar,p_b_mw,q_b_mvar,p_c_mw,q_c_mvar,unbalance_percent
39,1.286676545098713,-24.146126092163524,0.760459606875887,-135.994480998331,1.0142989801429707,72.27016065605194,0.0,0.0,5.3000000000000096e-05,0.0003286841051788631,0.0,0.0,0.14014616960639287
40,1.286657034651095,-24.146311354540632,0.7605272148773567,-136.0131486432772,1.0142405593784007,72.28216803513091,0.0,0.0,0.0,0.0,5.199999999999996e-05,0.0003286841051788633,0.14002127827577598
41,1.28613678262928,-24.08273324941541,0.7589207001830373,-135.94446982100794,1.014496532548192,72.29421952026499,0.0,0.0,0.0,0.0,0.0,0.0,0.16193475378428795
42,1.2866573806475432,-24.14630692753862,0.7605269937402421,-136.01312724219412,1.0142466377115813,72.28078232609394,0.0,0.0,0.0,0.0,4.800000000000008e-05,0.0003286841051788631,0.1393539531515418
43,1.2860998804861608,-24.077592815191036,0.7587907606756611,-135.93755883879857,1.014531583518466,72.29315106415451,0.0,0.0,0.0,0.0,0.0,0.0,0.1632790127346315
44,1.2861987638982129,-24.087185456340524,0.759113987194922,-135.95422551221773,1.0144539293520243,72.29312961961698,0.0,0.0,0.0,0.0,0.0,0.0,0.15651695635412122
45,1.2861356166176443,-24.08274704772566,0.7589214218667599,-135.94454281116788,1.014477752587921,72.29888366645017,0.0,0.0,0.0,0.0,4.9e-05,0.0003286841051788631,0.16404228739317833
46,1.2863363787289546,-24.10542526316051,0.7594561815697066,-135.968380586706,1.0143598943151837,72.29531081943794,0.0,0.0,0.0,0.0,5.3000000000000096e-05,0.0003286841051788631,0.157481404648856
47,1.286192563733731,-24.08600262391388,0.7591136532000979,-135.95424047816408,1.0144543174178655,72.29313055782572,5.100000000000005e-05,0.0003286841051788631,0.0,0.0,0.0,0.0,0.15561865947390796
48,1.2862797555540428,-24.095369241192962,0.7591418436969896,-135.95228534027342,1.0143726598031888,72.2952543183893,0.0,0.0,0.0,0.0,0.0,0.0,0.16252475189039287
49,1.2863614175020543,-24.106847297875888,0.7595875715489044,-135.97431557593558,1.0143807830496807,72.28729248522643,4.49999999999999e-05,0.0003286841051788631,0.0,0.0,0.0,0.0,0.14957300044881644
50,1.2861881927822165,-24.085246895623754,0.7591134415689617,-135.9542504602363,1.0144545664398417,72.29313148131865,5.400000000000001e-05,0.0003286841051788631,0.0,0.0,0.0,0.0,0.15504269794777648
51,1.2862731804511836,-24.09107530361549,0.7589884201572487,-135.94334660365058,1.0143599389817515,72.29720332279649,0.0,0.0,0.0,0.0,0.0,0.0,0.16657073648958387
52,1.2861030679484178,-24.077475475102936,0.7585261354044962,-135.92855027235032,1.014533847336797,72.2929556548471,0.0,0.0,0.0006040000000000002,0.0003286841051788631,0.0,0.0,0.17282322148814316
